"구분","분류","명칭","코드","비고","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"[행위]자기공명영상진단료(MRI)","혈관","사지혈관-일반","HE139","MRI Extremity Angio","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","심혈관-일반","HE140","MRI Cardiovascular MRA","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","심혈관-조영제 주입 전/후 촬영판독","HE240","MRI Cardiovascular MRA 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","흉부","심장-일반","HE124","MRI Heart","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","흉부","심장-조영제 주입 전/후 촬영판독","HE224","MRI Heart 조영제사용 |조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","흉부","흉부-일반","HE125","MRI Chest","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","흉부","흉부-조영제 주입 전/후 촬영판독","HE225","MRI Chest 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","흉부","유방-일반","HE126","MRI Breast","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","흉부","유방-조영제 주입 전/후 촬영판독","HE226","MRI Breast 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]이학요법료(물리치료료)","물리치료료","FIMS(Functional Intramuscular Stimulation)","MZ001","근육내자극요법[IMS] 한부위","","5000","50000","","",""
"[행위]처치 및 수술료 등","근골","추간판내고주파열치료술(IDET)","SZ083","","500000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","약물유도사정술","","","100000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","음경 이물질 제거술 A","","","300000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","음경 이물질 제거술 B","","","500000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","자기장 치료(골반통 전립선통 성교통)","MX033","","20000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","자기장 치료 (요실금)","MX033","","30000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","음경보형물 삽입술 A(굽은형 보형물)","","","1000000","","","","",""
"[행위]치과의 보철료","치과보철료","편측가철성국소의치, 고주파비귀금속","","R.P.D., Half, non-Prec. Elect.,G","700000","","","","",""
"[행위]치과의 보철료","치과보철료","편측가철성국소의치, 귀금속","","R.P.D., Half, Prec.,G","1200000","","","","",""
"[행위]치과의 보철료","치과보철료","편측가철성국소의치, 비귀금속","","R.P.D., Half, non-Prec.,G","600000","","","","",""
"[행위]치과의 보철료","치과보철료","포스트관, 귀금속, 단순","","Post&Core, gold,G","260000","","","","",""
"[행위]치과의 보철료","치과보철료","포스트관, 그래스화이버","","Post&Core, glassfiber,G","220000","","","","",""
"[행위]치과의 보철료","치과보철료","포스트관, 파라 포스트","","Post&Core, Para,G","180000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","Cornus Denture(내관 & 외관)","","","500000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","Laser 미백치료(1치당)","","","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","Laser 충치예방치료(1치당)","","","10000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","Milling 비","","","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","Resin facing 수리 (1치당)","","","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","Scaling 치석제거","","","80000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","골 이식술bone graft","","사용한 인공뼈g수에 따라 결정","","200000","1000000","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","골증대술","","골증대술","500000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","광중합 G.I 충전","","Light curing G.I filling","80000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","교정 월정비","","Orthodontics, Morthly fee","60000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","교합안정장치 관리","","Occlusal splint 관리","30000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","교합안정장치(1악당), 단순","","Occlusal splint (1악당), simple","300000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","구강 검사및 상담","","Oral exam, consult.","30000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","구취측정검사","","구취측정검사","30000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","기성금관","","Sp cr","60000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","나선형 합정","","Screw post","70000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","레이져 솔더","","Laser Solder","60000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","레진 가공 의치 (1치당)","","Resin temporary crown","30000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","모형 분석용 인상/1악당","","Study impression/1악당","30000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","보격장치(가철식)","","보격장치(가철식)","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","보격장치(고정식)","","보격장치(고정식)","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","보철 치료(CHECK UP)중","","보철 치료(CHECK UP)중","10000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","불소 도포 (1악당)","","Fluorid therapy (1악당)","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","서지컬 스텐트(수술용 스텐트)단순","","Surgical stent,(임플란트)단순","50000","","","","","임플란트3개이하"
"[행위]치과 처치ㆍ수술료","치아질환 처치","서지컬 스텐트(수술용 스텐트)복잡","","Surgical stent,(임플란트)복잡","100000","","","","","임플란트4개이상"
"[행위]치과 처치ㆍ수술료","치아질환 처치","심미 레진 충전","","Esthetic resin filling","250000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","안면 체형","","Face mask impression","200000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","유구치 가공 치관","","S.S crown","150000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","의치 직접 이장술","","Direct denture reline","150000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","의치수리","","Denture repair","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임시 의치, 단순","","Flipper (simple)","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트 2차 수술,간단","","Implant second surgery,간단","100000","","","","",""
"제증명수수료","","보장구검진소견서","AQA00400","보장구검진소견서","10000","","","","",""
"제증명수수료","","시체검안서","AQA00802","사체검안서(재발행)","1000","","","","","의료법 시행규칙 제10조 [서식6]"
"제증명수수료","","상해 진단서(3주미만)","AQA01001","상해 진단서 (1부)","50000","","","","","20180101"
"제증명수수료","","상해 진단서(3주이상)","AQA01003","상해 진단서 (1부)","100000","","","","","20180101"
"제증명수수료","","신체감정료(과목당)","AQA01200","신체감정료(과목당)","150000","","","","",""
"제증명수수료","","향후 진료비추정서(천만원미만)","AQA02301","진료비추정서 (1부)","50000","","","","","20180101"
"제증명수수료","","향후 진료비추정서(천만원이상)","AQA02303","진료비추정서 (1부)","100000","","","","","20180101"
"제증명수수료","","영문 등 외국어 출생증명서","AQA02503","출생증명서,영문 등 외국어 [퇴원후,1부]","4500","","","","","20180101"
"제증명수수료","","통원확인서[병명 미기재]","AQA02601","통원확인서","1000","","","","","20180101"
"제증명수수료","","근로능력평가용진단서(1부)","AQA02801","근로능력평가용진단서(1부)","10000","","","","","20180101"
"제증명수수료","","수술확인서 [1부]","AQA03001","수술확인서 [1부]","10000","","","","","20180101"
"제증명수수료","","진료기록영상(CD)-PACS영상(COPY)","AQF00101","PACS영상 CD Copy(매당)","5000","","","","","20180101"
"제증명수수료","","진료기록영상(CD)-내시경PACS영상(COPY)","AQF00201","내시경 PACS영상 CD Copy [매당]","5000","","","","","20180101"
"제증명수수료","","진료기록영상(CD)-심혈관PACS영상(COPY)","AQF00401","심혈관 PACS 영상비용 CD Copy [매당]","5000","","","","","20180101"
"제증명수수료","","진료기록영상(CD)-핵의학PACS영상(COPY)","AQF00501","핵의학PACS영상 CD Copy(매당)","5000","","","","","20180101"
"제증명수수료","","영상의학과/PACS영상 Film Copy(매당)","AQF00701","영상의학과/PACS영상 Film Copy(매당)","5000","","","","","1장당"
"제증명수수료","","핵의학PACS영상 Film Copy(매당)","AQF00801","핵의학PACS영상 Film Copy(매당)","5000","","","","","1장당"
"제증명수수료","","환의 상하 한벌 (귀가용)","BZ00001","환의 상하 한벌 (귀가용)","19690","","","","",""
"[행위]자기공명영상진단료(MRI)","근골격계","견관절-일반","HE115","MRI Shoulder","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","견관절-조영제 주입 전/후 촬영판독","HE215","MRI Shoulder 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","주관절-일반","HE116","MRI Elbow","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","주관절-조영제 주입 전/후 촬영판독","HE216","MRI Elbow 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","수관절-일반","HE117","MRI Wrist","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","수관절-조영제 주입 전/후 촬영판독","HE217","MRI Wrist 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","고관절-일반","HE118","MRI Hip","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","고관절-조영제 주입 전/후 촬영판독","HE218","MRI Hip 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]치과의 보철료","치과보철료","가철성 의치 어테치먼트 교환, 재료대","","R.D, Attachment Change, Mat","150000","","","","",""
"[행위]치과의 보철료","치과보철료","가철성 의치, 자석 교환, 재료대","","R.D, Magnetic change, Mat","150000","","","","",""
"[행위]치과의 보철료","치과보철료","가철성 의치용 금속 교합면 인공치 (S-gold)","","Atrficial gold crown for RD,G","200000","","","","",""
"[행위]치과의 보철료","치과보철료","경질 레진 구치, 재료대","","Endura resin, post. Teeth, Mat","30000","","","","",""
"[행위]치과의 보철료","치과보철료","경질 레진 전치, 재료대","","Endura resin, ant. Teeth, Mat","20000","","","","",""
"[행위]치과의 보철료","치과보철료","교합안정장치, 복잡","","Occlusal splint, complex,G","600000","","","","",""
"[행위]치과의 보철료","치과보철료","금주조관, 메리랜드, 귀금속","","Crown, Maryland, Prec.,G","370000","","","","",""
"[행위]치과의 보철료","치과보철료","도재소부전장관, 귀금속","","Crown, PFG","520000","","","","",""
"[행위]치과의 보철료","치과보철료","도재소부전장관, 무깃, 귀금속","","Crown, collarless PFG,G","520000","","","","",""
"[행위]치과의 보철료","치과보철료","도재소부전장관, 무깃, 비귀금속","","Crown, collarless PFM,G","380000","","","","",""
"[행위]치과의 보철료","치과보철료","도재소부전장관, 비귀금속","","Crown, PFM,G","370000","","","","",""
"[행위]치과의 보철료","치과보철료","로케이터,G","","Locator,G","600000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술, MDI","","Implant, MDI,G","460000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술, 밀드바,Gold,Fixtur","","Implant, milled bar,G","2700000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술, 밀드바,Titanium,Fixture","","Implant, milled bar,Titanium,Fixture ,G","1600000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술, 오-링, E.R.A.,","","Implant, O-ring, E.R.A.,G","450000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술, 임시 MDI","","Implant, Tem. MDI,G","230000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술, 자성체","","Implant, Magnetic,G","500000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술, 헤더바","","Implant, hader bar,G","","120000","160000","","","임플란트 식립갯수에 따라 헤더바 개수 결정됨"
"[행위]치과의 보철료","치과보철료","매식술, 혼합형틀니","","Implant, Hybrid denture,,G","2500000","","","","",""
"[행위]치과의 보철료","치과보철료","매식술,국산,G","","Implant,국산,G","1000000","","","","",""
"[행위]치과의 보철료","치과보철료","매식치 A-gold 도재관","","Implant crown, A-gold,G","570000","","","","",""
"[행위]치과의 보철료","치과보철료","매식치 귀금속 도재관","","Implant crown, PFG,G","800000","","","","",""
"[행위]치과의 보철료","치과보철료","매식치 비귀금속 도재관","","Implant crown, PFM,G","600000","","","","",""
"[행위]치과의 보철료","치과보철료","매식치금관, 백금가공","","Implant crown, Pt-gold,G","660000","","","","",""
"[행위]치과의 보철료","치과보철료","매식치금관, 슈퍼골드","","Implant crown, Super-gold,G","620000","","","","",""
"[행위]치과의 보철료","치과보철료","세미리지드 연결체","","Semirigid joint,G","150000","","","","",""
"[행위]치과의 보철료","치과보철료","오버덴쳐 오-링 교환, 재료대","","Overdenture O-ring change, Mat","20000","","","","",""
"[행위]치과의 보철료","치과보철료","오버덴쳐 클립 교환, 재료대","","Overdenture clip change, Mat","10000","","","","",""
"[행위]치과의 보철료","치과보철료","의치 이장술, 간접법","","Rebase, indirect,G","300000","","","","",""
"[행위]치과의 보철료","치과보철료","인공치매식, 유씨엘에이 스크류 교환, 재료대","","Implant, UCLA screw change, Mat","50000","","","","",""
"[행위]치과의 보철료","치과보철료","인공치매식, 자석 교환, 재료대","","Implant, Magnetic change, Mat","200000","","","","",""
"[행위]치과의 보철료","치과보철료","인공치매식, 코핑 스크류 교환, 재료대","","Implant, coping screw change, Mat","30000","","","","",""
"[행위]치과의 보철료","치과보철료","인레이, 귀금속","","Inlay, Prec. Gold ,G","350000","","","","",""
"[행위]치과의 보철료","치과보철료","인레이, 포세라인 or 레진","","Inlay, Por. or resin,G","280000","","","","",""
"[행위]치과의 보철료","치과보철료","임시 가철성 국소의치","","R.P.D., Temporary,G","430000","","","","",""
"[행위]치과의 보철료","치과보철료","임시치, 복잡","","Flipper, complex,G","150000","","","","",""
"[행위]치과의 보철료","치과보철료","임플란트 지지의치, 단순","","Implant overdenture,G","1800000","","","","",""
"[행위]치과의 보철료","치과보철료","자석장치","","Attachment, Magnetic,G","340000","","","","",""
"[행위]치과의 보철료","치과보철료","전부도재관, 순면버니어","","Crown, Laminate veneer,G","400000","","","","",""
"[행위]치과의 보철료","치과보철료","전부도재관, 전세라믹","","Crown, all ceramic,G","470000","","","","",""
"[행위]치과의 보철료","치과보철료","주조관, N-C 합금","","Crown, Metal,G","250000","","","","",""
"[행위]치과의 보철료","치과보철료","주조관, 메리랜드, 비귀금속","","Crown, Maryland, non-Prec.,G","290000","","","","",""
"[행위]치과의 보철료","치과보철료","주조금관, Pd 합금","","Crown, Palladium,G","350000","","","","","금함량46%"
"[행위]치과의 보철료","치과보철료","주조금관, 금합금","","Crown, Super - Gold,G","420000","","","","","금함량55%"
"[행위]치과의 보철료","치과보철료","주조금관, 백금합금","","Crown, Gold - Pt,G","460000","","","","","금함량72%"
"[행위]치과의 보철료","치과보철료","즉시 or 임시폐쇄장치","","Interrim or immediate obturator,G","500000","","","","",""
"[행위]치과의 보철료","치과보철료","즉시총의치,망사","","F.D., Immediate, mesh,G","600000","","","","",""
"[행위]치과의 보철료","치과보철료","즉치총의치,레진상","","F.D., Immediate, resin plate,G","500000","","","","",""
"[행위]치과의 보철료","치과보철료","총의치, 귀금속편","","F.D., Prec., base metal,G","1600000","","","","",""
"[행위]치과의 보철료","치과보철료","총의치, 비귀금속편, 망사 (완전틀니-티타늄)","","F.D., Mesh or base metal,G (완전틀니-티타늄)","1400000","","","","",""
"[행위]치과의 보철료","치과보철료","최종폐쇄장치","","Definitive obturator, metal base,G","1500000","","","","",""
"[행위]치과의 보철료","치과보철료","치아 매식술, 단순","","Implant, simple,G","1350000","","","","",""
"[행위]치과의 보철료","치과보철료","치아 매식술, 복잡, ASTRA","","Implant, complex,G","1450000","","","","",""
"[행위]치과의 보철료","치과보철료","치아 매식술, 복잡, NOBEL","","Implant, complex,G","1500000","","","","",""
"[행위]치과의 보철료","치과보철료","캐드캠 세라믹 크라운","","CAD-CAM Ceramic crown,G","550000","","","","",""
"[행위]치과의 보철료","치과보철료","캐드캠 세라믹 크라운,임플란트용","","CAD-CAM Ceramic crown,임플란트용,G","800000","","","","",""
"[행위]치과의 보철료","치과보철료","코너스 텔레스코픽 크라운 밀링 기공비","","Konus Telescopic Milling fee","100000","","","","",""
"[행위]치과의 보철료","치과보철료","코누스 텔레스코픽 내,외관 PD합금","","Konus Teles. crown, inner&outer,Palladium,G","500000","","","","",""
"[행위]치과의 보철료","치과보철료","코누스 텔레스코픽 내,외관 귀금속","","Konus Teles. crown, inner&outer,PFG,G","650000","","","","",""
"[행위]치과의 보철료","치과보철료","코누스 텔레스코픽 내,외관 금합금","","Konus Teles. crown, inner&outer,Super G.,G","600000","","","","",""
"[행위]치과의 보철료","치과보철료","코누스 텔레스코픽 내,외관 백금합금","","Konus Teles. crown, inner&outer,PT.G.,G","700000","","","","",""
"[행위]치과의 보철료","치과보철료","코누스 텔레스코픽 내,외관 비귀금속","","Konus Teles. crown, inner&outer,PFM,G","550000","","","","",""
"[행위]치과의 보철료","치과보철료","테레스코픽 국소 의치","","R.P.D., Telescopic,G","1100000","","","","",""
"약제","","스타로랄300 설하액(집먼지진드기) - 초기용","","","0","","","","","원외처방"
"약제","","스타로랄300 설하액(집먼지진드기) - 유지용","","","0","","","","","원외처방"
"약제","","스타로랄 설하액(화분) - 초기용","","","0","","","","","원외처방"
"약제","","스타로랄 설하액(화분) - 유지용","","","0","","","","","원외처방"
"약제","","야즈정(바이엘)","641104750","","0","","","","","원외처방"
"약제","","자이데나정75mg(유데나필)(동아에스티)","642507050","","0","","","","","원외처방"
"약제","뇌하수체호르몬제","싸이젠주8mg(24IU)-한국머크","661700270","","0","","","","","원외처방"
"약제","뇌하수체호르몬제","싸이젠리퀴드카트리지주 6mg","661700650","","0","","","","","원외처방"
"약제","예방접종-인플루엔자(성인)","백시플루4가주사-성인(인플루엔자분할백신)","642507441","","30000","","","","Y",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트 2차 수술,연조직","","Implant second surgery,연조직","300000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트 2차 수술,경조직","","Implant second surgery,경조직","500000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트 주위염 치료","","Peri implantitis treatment","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트목적 레이저치료","","임플란트목적 레이저치료","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트목적/상악동거상술(편측)","","임플란트목적/상악동거상술(편측)","300000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트목적/상악동거상술,측방접근","","임플란트목적/상악동거상술,측방접근","1000000","1000000","1500000","","","단순,복잡으로 구분"
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트목적/하치조측방전위술(양측)","","임플란트목적/하치조측방전위술(양측)","1500000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","임플란트목적/하치조측방전위술(편측)","","임플란트목적/하치조측방전위술(편측)","1000000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","잇솔질 교습, 회당","","T.B.I","30000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치관노출술(1치당)SURGICAL UNCOVERING","","SURGICAL UNCOVERING(1치당)치관노출술","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치면 열구 전색","","Pit & fissure sealant","30000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아 매식 진단료","","Dx of implant","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아매식, 유씨엘에이 스크류 교환","","Implant, UCLA screw change fee","100000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아매식, 임시 레진치","","Implant, temporary resin Cr.","50000","50000","200000","","","단순(본원제작),복잡(외주가공) 구분"
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아매식, 자석체 교환","","Implant, magnetic change fee","300000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아매식, 지대체 교환","","Implant, abutment change fee","300000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아매식, 코핑 스크류 교환","","Implant, coping screw change fee","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아지지 가철성 의치 오-링&이알에이 교환","","Over denture O-ring & ERA 교환","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아지지 가철성 의치 자석체 교환","","Over denture magnetic 교환","200000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치아지지 가철성 의치 클립 교환","","Over denture clip 교환","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","치주 테스트(인공치아 개당)","","Perio test(인공치아 개당)","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","탄성 의치상 이장술","","Direct denture soft reline","50000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","포세린관 수리","","P.F.M repair","200000","","","","",""
"[행위]치과 처치ㆍ수술료","치아질환 처치","피.알.피","","P.R.P.","100000","","","","",""
"[행위]검사료","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","","25000","","","","",""
"[행위]검사료","약물 및 독물검사","TBPE(건강관리과용)","LC4501390","","6000","","","","",""
"[행위]검사료","약물 및 독물검사","약물검사","LC4502390","","6000","","","","",""
"[행위]검사료","생식, 임신 및 분만","자궁경부확대촬영검사","EZ886","자궁경부촬영확대술","25000","","","","",""
"[행위]검사료","시기능검사","눈의 계측검사 (레이저간섭계 이용)","EZ797","인공수정체도수검사 IOL Master [편측]","50000","","","","",""
"[행위]검사료","평형 및 청각기능검사","동적체평형검사","FZ731","Computerized Dynamic Posturography","30000","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","두진(두위안진검사 :Positional test)","31010","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","온도안진검사(냉온교대Caloric test)","31010","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사 급속안구운동","50000","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사-체위변환및 이석정복술","103500","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사-정밀","100000","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사-진동","31010","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","시표추적 (시추적검사:Smooth pursuit test)","50000","","","","",""
"[행위]검사료","내시경","초음파내시경검사상부(EUS)","EZ992","","150000","","","","",""
"[행위]검사료","내시경","초음파내시경검사(Miniprobe 이용)(EUS-M)","EZ992","","250000","","","","",""
"[행위]초음파 검사료","초음파 검사료","초음파 동맥경화협착폐색검사 [1부위]","EZ868","초음파 동맥경화협착폐색검사 [1부위]","30000","","","","",""
"[행위]초음파 검사료","초음파 검사료","초음파 동맥경화협착폐색검사 [1부위]","EZ868","초음파 동맥경화협착폐색검사 [2부위]","50000","","","","",""
"[행위]초음파 검사료","초음파 검사료","초음파 IVUS","HZ161","초음파 IVUS","200000","","","","",""
"[행위]초음파 검사료","초음파 검사료","초음파 도플러 두개강내 뇌혈류검사 [기본]","HZ161","초음파 도플러 두개강내 뇌혈류검사 [기본]","150000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","인공 괄약근 설치술","","","1000000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","고환삽입술-비급여","","","500000","","","","",""
"[행위]치과의 보철료","치과보철료","ERA,1ea","","ERA,1ea","280000","","","","",""
"[행위]치과의 보철료","치과보철료","F.D. Temporary","","F.D. Temporary","500000","","","","",""
"[행위]치과의 보철료","치과보철료","F.D., resin plate,G (완전틀니-레진)","","F.D., resin plate,G (완전틀니-레진)","800000","","","","",""
"[행위]치과의 보철료","치과보철료","Locator","","Locator","500000","","","","",""
"[행위]치과의 보철료","치과보철료","Magnetic,1ea","","Magnetic,1ea","350000","","","","",""
"[행위]치과의 보철료","치과보철료","Pressure Injection Resin System","","Pressure Injection Resin System","100000","","","","",""
"[행위]치과의 보철료","치과보철료","Spark elosin","","Spark elosin","160000","","","","",""
"[행위]치과의 보철료","치과보철료","가철성 국소의치, 고주파 비귀금속","","R.P.D., electronic non-Prec.,G","1200000","","","","",""
"[행위]치과의 보철료","치과보철료","가철성 국소의치, 귀금속","","R.P.D., Prec.,G","2500000","","","","",""
"[행위]치과의 보철료","치과보철료","가철성 국소의치, 비귀금속","","R.P.D.,non-Prec.,G","1000000","","","","",""
